id,parametros_clinicos,resposta_correta
1,"{""cid10"":""E11"",""imc"":42}","Prescrever Metformina 500 mg XR VO 1x ao dia."
2,"{""cid10"":""E10"",""imc"":28}","Não prescrever metformina por critério de IMC; seguir avaliação subsequente."
3,"{""cid10"":""E11"",""hipertensao_cid10"":""I10""}","Prescrever Losartana 50 mg VO 1x ao dia ou Enalapril 10 mg VO 1x ao dia."
4,"{""cid10"":""E14"",""hipertensao"":false}","Não prescrever anti-hipertensivo por esta regra."
5,"{""cid10"":""E11"",""tfg"":55,""albuminuria"":40}","Prescrever IECA ou BRA (Losartana, Valsartana, Enalapril ou Lisinopril) e/ou iSGLT2 (Empagliflozina ou Dapagliflozina)."
6,"{""cid10"":""E13"",""tfg"":70,""albuminuria"":10}","Não caracterizada doença renal diabética; seguir fluxo."
7,"{""cid10"":""R73"",""prediabetes"":true,""idade"":55,""imc"":36}","Prescrever Metformina 500 mg XR VO 1x ao dia."
8,"{""cid10"":""R73"",""prediabetes"":true,""idade"":55,""glicemia_jejum"":112}","Prescrever Metformina 500 mg XR VO 1x ao dia."
9,"{""cid10"":""R73"",""prediabetes"":true,""idade"":55,""hba1c"":6.1}","Prescrever Metformina 500 mg XR VO 1x ao dia."
10,"{""cid10"":""R73"",""prediabetes"":true,""idade"":55,""cid10_historico"":[""O24.4""]}","Prescrever Metformina 500 mg XR VO 1x ao dia."
11,"{""cid10"":""R73"",""prediabetes"":true,""idade"":65,""imc"":36}","Não recomendar metformina; critério exige idade inferior a 60 anos."
12,"{""cid10"":""E11"",""risco_cardiovascular"":""muito_alto""}","Prescrever Ácido Acetilsalicílico 100 mg VO 1x ao dia."
13,"{""cid10"":""E11"",""risco_cardiovascular"":""alto""}","Prescrever estatina de alta potência: Atorvastatina 40 mg ou Rosuvastatina 20 mg VO 1x ao dia."
14,"{""cid10"":""E11"",""hba1c"":7.2,""risco"":""habitual""}","Prescrever Metformina 500 mg XR VO 1x ao dia."
15,"{""cid10"":""E11"",""hba1c"":7.2,""doenca_renal_cronica"":true}","Prescrever Metformina e associar Empagliflozina, Dapagliflozina ou GLP-1 (Liraglutida, Dulaglutida ou Semaglutida)."
16,"{""cid10"":""E11"",""hba1c"":8.2,""preferencia"":""menor_custo""}","Prescrever Metformina e associar Gliclazida ou Pioglitazona."
17,"{""cid10"":""E11"",""hba1c"":8.2,""preferencia"":""menor_risco_hipoglicemia""}","Prescrever Metformina e associar iDPP4, iSGLT2 ou GLP-1."
18,"{""cid10"":""E11"",""hba1c"":9.5,""doenca_renal_cronica"":true}","Prescrever Metformina e dois fármacos associados, priorizando iSGLT2 e/ou GLP-1."
19,"{""cid10"":""E11"",""hba1c"":10.5}","Prescrever Metformina e iniciar insulinoterapia basal."
20,"{""cid10"":""E11"",""hba1c"":10.5,""obesidade"":true}","Prescrever Metformina, insulina basal e considerar GLP-1 (Liraglutida, Dulaglutida ou Semaglutida)."
